C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
0.2,0.2,0.22,0.32,0.3,0.3,0.1,0.24,0.32,0.36,0.34,0.34,0.36
0.22,0.3,0.34,0.34,0.28,0.18,0.3,0.36,0.38,0.36,0.36,0.34,0.36
0.26,0.24,0.26,0.26,0.32,0.32,0.36,0.36,0.36,0.38,0.36,0.34,0.36
0.28,0.32,0.36,0.26,0.34,0.34,0.36,0.36,0.38,0.38,0.34,0.26,0.36
0.32,0.34,0.34,0.36,0.36,0.26,0.32,0.38,0.38,0.36,0.36,0.32,0.38
0.34,0.34,0.36,0.28,0.36,0.2,0.3,0.36,0.38,0.36,0.32,0.3,0.36
0.34,0.32,0.1,0.34,0.34,0.16,0.26,0.36,0.36,0.36,0.26,0.28,0.34
0.3,0.3,0.16,0.36,0.34,0.32,0.26,0.34,0.32,0.34,0.3,0.32,0.38
0.34,0.26,0.36,0.36,0.34,0.14,0.22,0.34,0.34,0.3,0.32,0.28,0.36
0.08,0.3,0.36,0.36,0.32,0.12,0.3,0.3,0.32,0.32,0.26,0.28,0.36
0.2,0.34,0.34,0.36,0.34,0.14,0.24,0.32,0.3,0.3,0.32,0.3,0.36
0.26,0.3,0.32,0.3,0.34,0.14,0.26,0.34,0.3,0.26,0.26,0.22,0.36
0.26,0.28,0.22,0.3,0.3,0.1,0.36,0.34,0.34,0.36,0.34,0.28,0.34
0.2,0.32,0.24,0.26,0.3,0.18,0.16,0.32,0.28,0.3,0.26,0.26,0.34
